timestamp,open,high,low,close,vwap,cum_tick,cum_volume,cum_dollar_value,cum_buy_tick,cum_buy_volume,cum_buy_dollar_value
2020-07-27 13:40:17.065000-04:00,3041.01,3042.22,3040.08,3040.82,3041.401177479893,80,746,2268885.2784,30,291,885172.6670999998
2020-07-27 13:40:44.055000-04:00,3041,3042.19,3040,3041.2,3041.0444968562874,80,668,2031417.7239,32,230,699508.6461
2020-07-27 13:41:09.603000-04:00,3041.2,3041.99,3040.24,3041.19,3041.058698985508,51,690,2098330.5023,19,174,529195.6099
2020-07-27 13:41:26.920000-04:00,3040.95,3042,3040.0842,3040.0842,3041.3387393665153,48,663,2016407.5842,19,501,1523809.9281
2020-07-27 13:41:47.469000-04:00,3040.38,3041.6,3040,3041.45,3040.727340029985,55,667,2028165.1357999998,24,332,1009573.3368000002
2020-07-27 13:42:03.346000-04:00,3041.45,3041.46,3039.8464,3041.1,3041.0274115176144,46,738,2244278.2297000005,23,399,1213411.4256
2020-07-27 13:42:14.743000-04:00,3041.3,3041.46,3040,3040.51,3040.6617790368273,36,706,2146707.2159999995,16,334,1015640.995
2020-07-27 13:42:14.744000-04:00,3040.5,3040.51,3039.69,3040.08,3040.045101763908,42,737,2240513.24,7,168,510755.88
2020-07-27 13:42:14.766000-04:00,3040,3040.44,3039.2,3039.2,3039.977382753404,25,661,2009425.0499999996,7,278,845130.4199999999
2020-07-27 13:42:18.421000-04:00,3039.69,3041.45,3039,3040.11,3039.9031671554253,45,682,2073213.9599999997,18,286,869428.2945
2020-07-27 13:42:41.889000-04:00,3039,3041.46,3039,3040.94,3040.5299621785175,83,661,2009790.305,33,162,492595.9937
2020-07-27 13:42:49.908000-04:00,3040.81,3041.08,3039.51,3039.51,3039.946398537234,37,752,2286039.6916999994,7,159,483473.11140000005
2020-07-27 13:42:49.980000-04:00,3039.51,3039.57,3038,3039.57,3039.2298099415207,38,684,2078833.1900000004,6,72,218826.22
