timestamp,open,high,low,close,vwap,cum_tick,cum_volume,cum_dollar_value,cum_buy_tick,cum_buy_volume,cum_buy_dollar_value
2020-07-27 13:39:45.689000-04:00,1470.3,1470.9,1469.7601,1470.85,1470.4755448225924,57,1381,2030726.7274000002,25,543,798586.8524
2020-07-27 13:39:45.759000-04:00,1470.556,1471,1470.556,1471,1470.9877249022163,35,1534,2256495.17,7,143,210351.71
2020-07-27 13:39:49.481000-04:00,1470.73,1471.33,1470.3601,1470.905,1470.9615059854013,46,1370,2015217.2631999997,18,498,732616.7348
2020-07-27 13:39:52.648000-04:00,1471.0081,1471.74,1470.6201,1471.74,1471.3919058189654,51,1392,2048177.5328999993,24,872,1283104.4547
2020-07-27 13:39:53.073000-04:00,1471.74,1472.61,1471.3,1472.61,1472.050457427536,71,1656,2437715.5575,17,963,1417694.49
2020-07-27 13:39:54.217000-04:00,1472.43,1472.89,1471.9,1472.89,1472.7056705797104,51,1380,2032333.8254,28,789,1162020.83
2020-07-27 13:39:54.792000-04:00,1472.89,1472.89,1472.5,1472.54,1472.8665908430235,13,1376,2026664.4290000002,3,406,597991.809
2020-07-27 13:39:56.109000-04:00,1472.52,1473,1471.91,1472.0001,1472.15578203125,31,1408,2072795.3411000003,14,438,644809.2536
2020-07-27 13:39:57.970000-04:00,1472.0001,1473,1472.0001,1472.88,1472.7532046176045,57,1386,2041235.9416,27,972,1431563.3136
2020-07-27 13:39:59.623000-04:00,1472.76,1473,1472.0001,1472.65,1472.5325118469464,57,1359,2001171.6836,13,277,407994.82999999996
2020-07-27 13:39:59.842000-04:00,1472.52,1472.75,1472,1472,1472.2853044412607,26,1396,2055310.2849999997,6,467,687630.51
2020-07-27 13:40:02.573000-04:00,1472,1472.375,1471.33,1471.509,1471.5994268567638,32,1508,2219171.9356999993,9,477,702016.8696999999
2020-07-27 13:40:03.506000-04:00,1471.96,1471.96,1470.95,1471.48,1471.4256803840879,12,1458,2145338.642,6,1101,1620124.7319999998
2020-07-27 13:40:08.950000-04:00,1471.05,1471.99,1470.1701,1470.47,1470.7857578757225,61,1384,2035567.4889000005,21,357,525100.6707
2020-07-27 13:40:12.309000-04:00,1470.47,1471.57,1470.45,1471.06,1471.0143965618142,53,1367,2010876.6800999995,27,698,1026811.0200000001
2020-07-27 13:40:21.661000-04:00,1471.4941,1471.5,1470,1470,1470.5125553269656,62,1361,2001367.5878,23,456,670687.9178999999
2020-07-27 13:40:29.744000-04:00,1470.02,1472,1470,1471.91,1471.2582230715288,65,1426,2098014.2260999996,31,722,1062338.8256
2020-07-27 13:40:35.441000-04:00,1471.4,1472.92,1470.9101,1472.89,1472.3455509064538,65,1379,2030364.5147000002,27,509,749422.0068999999
2020-07-27 13:40:35.456000-04:00,1472.89,1472.91,1471.97,1472.23,1472.4992419825073,37,1372,2020268.96,10,325,478626.12999999995
2020-07-27 13:40:36.647000-04:00,1472.17,1472.91,1471.96,1472.78,1472.3427078500708,32,1414,2081892.5889,12,556,818735.0299
2020-07-27 13:40:40.598000-04:00,1472.3738,1473,1471.8301,1473,1472.7644081336236,36,1377,2027996.5899999999,13,272,400613.46369999996
2020-07-27 13:40:41.317000-04:00,1473,1473.69,1472.89,1472.9,1473.1038429464907,42,1439,2119796.4300000006,13,602,886887.53
2020-07-27 13:40:43.908000-04:00,1472.89,1473.69,1472.5601,1473.1999,1473.1936247517729,53,1410,2077203.010899999,21,484,713089.2454000001
2020-07-27 13:40:44.215000-04:00,1472.6112,1473.2,1472.35,1472.75,1472.8887052860246,24,1381,2034059.3020000001,6,737,1085653.5300000003
2020-07-27 13:40:47.362000-04:00,1472.65,1473.2,1472.2501,1473.16,1472.9609032350827,42,1391,2048888.6163999997,16,482,710040.7919999999
2020-07-27 13:40:51.909000-04:00,1473.2,1473.88,1473,1473.15,1473.3274385977338,64,1412,2080338.3432999998,33,714,1052029.8980000003
2020-07-27 13:40:53.063000-04:00,1473.15,1473.8441,1473.1452,1473.16,1473.3138538799415,32,1366,2012546.7244000002,11,459,676338.9371
2020-07-27 13:40:55.372000-04:00,1473.15,1473.7799,1473,1473,1473.1871681138791,33,1405,2069827.9712000003,15,534,786750.1440999999
2020-07-27 13:40:56.101000-04:00,1473.2355,1473.2637,1473,1473,1473.0714305555555,20,1440,2121222.8599999994,6,562,827928.42
2020-07-27 13:41:01.459000-04:00,1473.7099,1473.78,1473,1473.39,1473.3438643776826,35,1398,2059734.7224000003,17,778,1146335.7669
2020-07-27 13:41:03.398000-04:00,1473.45,1473.8741,1473,1473,1473.4767839587932,39,1359,2002454.9494,16,337,496598.56299999997
2020-07-27 13:41:05.285000-04:00,1473.05,1474,1473.05,1473.78,1473.819623265896,33,1384,2039766.3586000006,15,1065,1569638.9465
2020-07-27 13:41:06.738000-04:00,1473.49,1473.8774,1473.1101,1473.85,1473.584326713781,24,1415,2085121.8223,12,735,1083199.267
2020-07-27 13:41:07.363000-04:00,1473.98,1474,1473.5226,1474,1473.963344518028,45,1359,2003116.1852,7,323,476097.64
2020-07-27 13:41:07.364000-04:00,1474,1474.5,1473.86,1474.2,1474.011939351199,32,1418,2090148.93,6,18,26537.99
2020-07-27 13:41:07.373000-04:00,1474.54,1474.601,1474,1474,1474.062175887696,16,2422,3570178.59,9,156,230026.93
2020-07-27 13:41:07.397000-04:00,1474,1475,1474,1474.98,1474.8700735835173,58,1359,2004348.4299999997,24,421,620939.39
2020-07-27 13:41:07.439000-04:00,1474.99,1475,1474.505,1475,1474.8951389891695,90,1385,2042729.7674999998,13,436,643096.33
2020-07-27 13:41:07.464000-04:00,1475,1475,1474,1474.7525,1474.8037719253061,43,1553,2290370.2578000003,7,442,651850.0
2020-07-27 13:41:07.853000-04:00,1474.935,1475,1474.19,1475,1474.9185871437617,77,1579,2328896.4491,12,323,476362.80909999995
2020-07-27 13:41:08.568000-04:00,1475,1475,1474.2564,1475,1474.9060070860446,48,1383,2039795.0077999993,10,86,126829.36
2020-07-27 13:41:08.568000-04:00,1475,1475,1474.94,1475,1474.9966266760762,15,1417,2090070.22,2,932,1374699.0
2020-07-27 13:41:08.568000-04:00,1475,1475,1475,1475,1475.0,44,1357,2001575,0,0,0
2020-07-27 13:41:08.568000-04:00,1475,1475,1474.94,1475,1474.9973191489362,38,1410,2079746.22,2,34,50150
2020-07-27 13:41:08.569000-04:00,1475,1475.17,1474.94,1475,1474.9989545454544,89,1540,2271498.39,3,9,13276.21
2020-07-27 13:41:08.569000-04:00,1475,1475.5,1475,1475,1475.0434986225896,93,1452,2141763.16,4,204,300963.16000000003
2020-07-27 13:41:08.594000-04:00,1475,1475.5,1474.96,1475,1475.029184423218,58,1361,2007514.7200000002,12,199,293537.9
2020-07-27 13:41:08.759000-04:00,1475,1475.5,1474.6201,1475.49,1475.1966020804439,13,1442,2127233.5001999997,5,99,146064.72
2020-07-27 13:41:09.381000-04:00,1475.49,1476,1475,1475.21,1475.4968635829662,35,1362,2009626.7281999998,18,633,934125.7982000001
2020-07-27 13:41:10.430000-04:00,1475.4,1475.9799,1474.88,1475.375,1475.5654103194101,47,1628,2402220.488,19,780,1151124.2944
2020-07-27 13:41:12.165000-04:00,1475,1475.7899,1474.5,1475.0987,1475.2049073492465,50,1592,2348526.2125000004,21,879,1296809.2555
2020-07-27 13:41:14.676000-04:00,1474.59,1475.8,1474.59,1475.8,1475.4543065645514,49,1371,2022847.8543000005,24,831,1226201.8031000001
2020-07-27 13:41:14.679000-04:00,1475.92,1476,1475.82,1476,1475.9953328456475,49,1367,2017685.6199999999,4,129,190399.91999999998
2020-07-27 13:41:14.908000-04:00,1476,1476.9,1475.3901,1476.9,1476.2869549927639,68,1382,2040228.5718000005,29,778,1148506.31
2020-07-27 13:41:16.388000-04:00,1476.75,1477,1475.8901,1476.186,1476.3950102564102,47,1833,2706232.0538,21,1472,2173214.7223
2020-07-27 13:41:17.767000-04:00,1475.9,1477,1475.1419,1475.87,1475.9641875901875,52,1386,2045686.3640000003,18,402,593448.79
2020-07-27 13:41:17.853000-04:00,1475.89,1476.95,1475.62,1476.95,1476.1942805755396,30,1390,2051910.05,16,602,888866.18
