timestamp,symbol,open,high,low,close,vwap,cum_tick,cum_volume,cum_dollar_value,cum_buy_tick,cum_buy_volume,cum_buy_dollar_value
2020-08-11 12:33:13.626000-04:00,TSLA,1413.22,1415,1413,1414,1413.9604034944086,156,5008,7081113.700700001,58,1940,2743462.5792
2020-08-11 12:34:13.495000-04:00,AAPL,446.3928,446.6031,446.26,446.3076,446.38536027944906,857,50027,22331320.418700002,295,15572,6951219.066799996
2020-08-11 12:34:15.696000-04:00,TSLA,1413.9,1415,1413.1443,1414.129,1413.8861546597484,221,5011,7084983.520999998,92,2111,2984650.1088999994
2020-08-11 12:35:14.678000-04:00,AAPL,446.33,446.7,446.22,446.555,446.3876257758799,686,50232,22422943.217973966,236,14370,6415121.461296001
2020-08-11 12:35:31.016000-04:00,TSLA,1413.17,1414.78,1412.2,1413.11,1413.5002231479664,262,5089,7193302.635599996,89,1180,1668051.2561
2020-08-11 12:36:03.767000-04:00,TSLA,1413.02,1413.17,1411,1412.47,1411.9475303500399,185,5028,7099272.1826,65,1736,2451506.9177000006
2020-08-11 12:36:07.028000-04:00,AAPL,446.5464,446.64,446.1,446.3529,446.3665516415891,678,50191,22403583.593443006,224,15905,7099844.086742998
2020-08-11 12:36:39.993000-04:00,TSLA,1412.53,1413,1411.76,1412.6286,1412.293829494733,114,5601,7910257.739,39,1482,2093313.0962
2020-08-11 12:37:08.660000-04:00,TSLA,1412.63,1414.53,1412,1413.99,1413.2521155716806,177,5099,7206172.537300002,71,2038,2880509.457
2020-08-11 12:37:23.707000-04:00,AAPL,446.4,446.92,446.34,446.8326,446.69943257401945,827,50176,22413590.728833992,307,19302,8622174.232808
2020-08-11 12:37:53.858000-04:00,TSLA,1413.99,1414.6,1412.76,1413.9154,1413.7646147053104,172,5141,7268163.884200002,72,2254,3186776.5035000006
2020-08-11 12:38:07.664000-04:00,TSLA,1413.9,1415,1413.3,1414.84,1414.412521435713,163,5001,7073477.0197,52,1343,1899582.0341999999
2020-08-11 12:38:26.234000-04:00,AAPL,446.79,447,446.6368,446.78,446.88801488458387,667,50019,22352891.616511993,240,16649,7440664.948312
2020-08-11 12:38:32.263000-04:00,TSLA,1414.74,1415.48,1414.01,1414.0733,1414.7555968659315,156,5169,7312871.680199999,48,883,1249266.4017000003
2020-08-11 12:38:45.501000-04:00,TSLA,1414.65,1417,1414.51,1417,1415.8649636953955,203,5082,7195425.745499998,73,1399,1981152.0693000003
2020-08-11 12:38:57.219000-04:00,TSLA,1416.59,1417.7,1416.44,1417.46,1417.0461098097503,143,5046,7150414.670099999,49,1681,2382133.1888000006
2020-08-11 12:39:01.067000-04:00,TSLA,1417.53,1418.57,1417,1418.57,1417.8573990035868,217,5018,7114808.428199999,65,1588,2251678.889
2020-08-11 12:39:02.353000-04:00,TSLA,1418.57,1419.99,1418.23,1419.4951,1419.1397200238619,229,5029,7136853.652,75,1043,1480195.2357
2020-08-11 12:39:13.003000-04:00,TSLA,1419.9,1419.98,1417.6601,1418.5099,1418.8298638888891,119,5652,8019226.390699999,49,1784,2531560.3991000005
2020-08-11 12:39:24.369000-04:00,TSLA,1418.995,1420,1418.108,1419.17,1419.3422980215826,113,5004,7102388.859300001,46,2338,3318607.2199999993
2020-08-11 12:39:30.803000-04:00,TSLA,1419.17,1420,1418.66,1419.075,1419.3588319121206,117,5371,7623376.2862,33,2887,4097819.3989
2020-08-11 12:39:35.925000-04:00,AAPL,446.77,447,446.68,446.92,446.9050398917148,655,50053,22368937.961700007,211,13385,5981767.052000001
2020-08-11 12:39:45.129000-04:00,TSLA,1419.075,1419.43,1417,1418.03,1418.2250131725787,145,5018,7116653.1161,60,2333,3309011.497300001
2020-08-11 12:40:04.621000-04:00,TSLA,1418.97,1418.97,1415.52,1417.4017,1417.894352073733,158,5208,7384393.785600001,64,1820,2580497.6742000002
2020-08-11 12:40:32.468000-04:00,TSLA,1417.71,1417.91,1415.55,1416.2723,1416.9416159385598,160,5013,7103128.320700003,63,2149,3045064.6695000003
