datetime,open,high,low,close,vwap,cum_volume,cum_ticks,cum_dollar_value
2018-01-02 14:32:01.485427456,169.64,170.33,169.63,169.71,170.06266424813083,1491178.0,5000.0,253593703.54819924
2018-01-02 14:39:20.213005312,169.69,170.2,169.621,170.1,169.84597143489273,727678.0,5000.0,123593176.80179988
2018-01-02 14:43:49.525508352,170.1,170.31,169.95,170.1699,170.09331030023725,748575.0,5000.0,127327599.75800009
2018-01-02 14:48:04.215094016,170.15,170.6,170.14,170.57,170.43395514868573,906979.0,5000.0,154580018.20679983
2018-01-02 14:52:25.117609216,170.57,171.025,170.48,170.85,170.80318797460404,800431.0,5000.0,136716166.5537003
2018-01-02 14:59:15.778607872,170.85,171.0486,170.5933,170.99,170.8717044847703,647614.0,5000.0,110658908.02820005
2018-01-02 15:06:10.871425280,170.98,171.19,170.8565,171.13,171.0267597322527,702155.0,5000.0,120087294.47979991
2018-01-02 15:13:52.643913216,171.13,171.375,171.07,171.08,171.22438648065892,669685.0,5000.0,114666403.26030007
2018-01-02 15:23:01.159414528,171.07,171.33,171.06,171.09,171.19270796715614,583734.0,5000.0,99931004.19249992
2018-01-02 15:31:45.568035584,171.09,171.59,170.2407,171.54,171.38137978969314,718188.0,5000.0,123084050.38840014
2018-01-02 15:42:03.549951488,171.5383,171.6,171.3104,171.485,171.46679899075798,729062.0,5000.0,125009927.4058
2018-01-02 15:52:16.951852800,171.484,171.5,171.2101,171.27,171.33911267361782,619752.0,5000.0,106187757.7577
2018-01-02 16:05:03.478836736,171.27,171.57,171.2692,171.34,171.4394593998183,677295.0,5000.0,116115088.65419994
2018-01-02 16:17:32.922737920,171.3446,171.5,171.23,171.45,171.34786838227714,633205.0,5000.0,108498326.9989998
2018-01-02 16:29:58.739584000,171.45,171.46,171.17,171.27,171.31905685417442,654798.0,5000.0,112179375.7899997
2018-01-02 16:45:40.711719936,171.28,171.35,171.1,171.21,171.2047819374357,645833.0,5000.0,110569697.93299992
2018-01-02 17:04:04.180013056,171.21,171.33,171.1401,171.28,171.23655569718522,578268.0,5000.0,99020620.5898999
2018-01-02 17:21:57.368635904,171.28,171.5,171.2041,171.41,171.39718555031627,645329.0,5000.0,110607574.35400005
2018-01-02 17:42:10.514014208,171.4,171.47,171.22,171.23,171.3475084228876,599545.0,5000.0,102730541.93740016
2018-01-02 18:05:16.185373952,171.23,171.41,171.22,171.37,171.31391711431792,502363.0,5000.0,86061773.34330009
2018-01-02 18:21:57.634954496,171.37,171.58,171.35,171.45,171.490537276642,608161.0,5000.0,104293856.64069986
2018-01-02 18:40:22.070468608,171.45,171.65,171.45,171.645,171.55461644763088,602719.0,5000.0,103399226.87069963
2018-01-02 18:58:37.682290432,171.65,171.7,171.54,171.68,171.63778606945667,584306.0,5000.0,100288988.22709994
2018-01-02 19:09:19.488859648,171.68,171.98,171.6,171.87,171.80580916700745,892865.0,5000.0,153399393.80190012
2018-01-02 19:20:21.691707904,171.87,172.11,171.8401,172.03,171.98588090878624,686300.0,5000.0,118033910.0677
2018-01-02 19:34:34.904653568,172.03,172.08,171.86,171.98,171.9835041004883,586735.0,5000.0,100908741.2784
2018-01-02 19:51:01.879737088,171.99,172.09,171.94,171.98,171.99703503222085,550262.0,5000.0,94643432.4908999
2018-01-02 20:07:20.569888512,171.9836,172.05,171.85,171.9,171.94976829370378,532768.0,5000.0,91609334.15429997
2018-01-02 20:22:30.566545664,171.895,171.98,171.7101,171.73,171.8428932007996,582642.0,5000.0,100122886.98030028
2018-01-02 20:38:11.043493888,171.73,171.9325,171.7,171.87,171.8364231006714,578507.0,5000.0,99408573.6187001
2018-01-02 20:49:34.791370240,171.87,172.07,171.87,172.01,171.99274400072164,631951.0,5000.0,108690986.56400004
2018-01-02 20:55:19.399246080,172.005,172.23,172.0,172.171,172.16136153091358,644099.0,5000.0,110888960.8006999
2018-01-02 20:59:37.620671488,172.171,172.19,172.05,172.07,172.12282969868906,620455.0,5000.0,106794470.30070013
2018-01-02 21:53:12.904806400,172.07,172.3,171.3337,172.26,172.25033280480034,4256556.0,5000.0,733193187.6022696
2018-01-03 14:31:02.481580800,172.3,172.86,172.26,172.3,172.45638663871378,1321250.0,2685.0,227858000.8464006
2018-01-03 14:35:05.660092672,172.3,173.3,172.17,173.15,172.89674728659264,782061.0,5000.0,135215803.07969993
2018-01-03 14:40:52.638808576,173.15,173.36,173.03,173.19,173.18472558469048,825009.0,5000.0,142878957.2698999
2018-01-03 14:47:00.730525696,173.19,173.3,172.82,172.97,173.11586430244782,738482.0,5000.0,127842949.70180027
2018-01-03 14:53:58.985046272,172.9709,173.43,172.93,173.39,173.12389406263063,669320.0,5000.0,115875284.77399993
2018-01-03 15:00:27.329271296,173.39,173.9,173.2687,173.8,173.54494341767793,777089.0,5000.0,134859866.53549993
2018-01-03 15:06:34.901435136,173.79,174.29,173.6844,174.27,174.04785829384224,822128.0,5000.0,143089617.64339992
2018-01-03 15:13:14.036338432,174.27,174.41,174.04,174.08,174.22585418929106,699832.0,5000.0,121928827.98899995
2018-01-03 15:22:11.325166336,174.08,174.1989,173.9,173.94,173.9959371167802,684561.0,5000.0,119110832.70860016
2018-01-03 15:32:43.022298624,173.94,174.09,173.78,174.04,173.95282111256358,632737.0,5000.0,110066386.17230015
2018-01-03 15:41:35.803470848,174.039,174.47,173.9,174.4249,174.17863495069392,719382.0,5000.0,125300974.7681001
2018-01-03 15:51:40.498010624,174.42,174.55,174.225,174.25,174.4099243196055,713630.0,5000.0,124464154.29220007
2018-01-03 16:01:42.941113856,174.25,174.5,174.05,174.13,174.26133815771385,901456.0,5000.0,157088928.8503001
2018-01-03 16:12:05.829594624,174.13,174.53,174.08,174.13,174.17917598458766,608605.0,5000.0,106006317.40009998
2018-01-03 16:23:36.350038272,174.1275,174.3,172.45,174.05,174.13375285935754,591479.0,5000.0,102996458.00749995
2018-01-03 16:35:38.488570112,174.06,174.09,173.82,173.92,173.95535150459568,612623.0,5000.0,106569049.30479991
2018-01-03 16:46:09.988397312,173.93,173.94,173.5,173.54,173.70823513123844,767838.0,5000.0,133379783.84669986
2018-01-03 17:01:03.094355968,173.545,173.73,173.54,173.7,173.64589965614786,609273.0,5000.0,105797758.22120017
2018-01-03 17:18:53.086640128,173.7,173.73,173.4525,173.56,173.6161245539758,806122.0,5000.0,139955777.55770007
2018-01-03 17:36:16.840206336,173.56,173.63,173.315,173.455,173.46648163605641,648804.0,5000.0,112545747.15139994
2018-01-03 17:52:58.225352192,173.455,173.5274,173.33,173.38,173.42851538768286,722214.0,5000.0,125252501.8122
2018-01-03 18:07:59.080294656,173.38,173.4532,173.09,173.17,173.26147754521125,648178.0,5000.0,112304277.99229994
2018-01-03 18:28:57.696745728,173.17,173.49,173.11,173.44,173.3148833595943,618164.0,5000.0,107137021.55710025
2018-01-03 18:48:39.419399936,173.44,173.44,173.02,173.09,173.20749931942842,644899.0,5000.0,111701343.10360007
2018-01-03 19:06:36.541020416,173.09,173.15,172.87,172.9432,173.01557310546264,600107.0,5000.0,103827856.52959986
2018-01-03 19:20:52.215826432,172.9378,173.07,172.81,173.06,172.9149915790852,587834.0,5000.0,101645311.15989998
2018-01-03 19:32:12.759467264,173.06,173.09,172.71,172.7275,172.8886893541938,654577.0,5000.0,113168959.6114001
2018-01-03 19:45:47.688226304,172.724,172.9,172.6,172.8,172.74409850605363,613342.0,5000.0,105951210.86589995
2018-01-03 19:57:35.839052032,172.8,172.9199,172.35,172.41,172.57414068854823,674637.0,5000.0,116424900.5517001
2018-01-03 20:09:27.150660352,172.4024,172.51,172.26,172.37,172.37876591526802,721854.0,5000.0,124432301.69099988
2018-01-03 20:19:27.043719168,172.37,173.3254,172.2,172.395,172.37713870095612,771552.0,5000.0,132997926.11900009
2018-01-03 20:30:12.681917440,172.4,172.47,172.16,172.2599,172.28006802866545,668821.0,5000.0,115224527.37900005
2018-01-03 20:40:13.293845248,172.26,172.54,172.2222,172.49,172.4226309829506,634691.0,5000.0,109435092.0811999
2018-01-03 20:48:06.349944320,172.49,172.49,172.2,172.315,172.31489452777777,711868.0,5000.0,122665459.3377001
2018-01-03 20:52:28.547654912,172.315,172.55,172.09,172.29,172.28426926440295,691615.0,5000.0,119154384.88730004
2018-01-03 20:57:27.783959808,172.295,172.31,172.06,172.065,172.2019878448226,786093.0,5000.0,135366777.23090014
2018-01-03 20:59:32.481121280,172.06,172.1965,171.96,172.12,172.04054622255003,892348.0,5000.0,153520037.34060007
2018-01-03 23:40:35.846091264,172.1,174.0761,171.85,172.0,172.23097472019248,4821807.0,5000.0,830464519.5226471
2018-01-04 14:33:30.250613760,172.59,173.12,172.48,173.02,172.85086878813405,1243966.0,4891.0,215020603.84289995
2018-01-04 14:39:24.785063424,173.02,173.05,172.51,172.63,172.778186407934,680522.0,5000.0,117579356.97070006
2018-01-04 14:51:17.690510848,172.7456,172.86,172.47,172.85,172.65186423642749,642735.0,5000.0,110969395.96000022
2018-01-04 14:58:29.269066752,172.85,173.16,172.83,172.86,173.00431445961144,720130.0,5000.0,124585596.97179998
2018-01-04 15:08:27.158619648,172.86,173.08,172.66,173.08,172.89423232150253,552991.0,5000.0,95608954.42570001
2018-01-04 15:16:45.630372352,173.08,173.35,172.95,173.28,173.1692085469615,704613.0,5000.0,122017275.54190019
2018-01-04 15:26:23.823127040,173.28,173.41,173.0201,173.15,173.2403763362026,672166.0,5000.0,116446290.80039994
2018-01-04 15:38:00.282329856,173.15,173.31,173.03,173.2,173.16073596912437,592839.0,5000.0,102656437.55119972
2018-01-04 15:48:11.751610880,173.2,173.47,173.07,173.19,173.2720789265393,750712.0,5000.0,130077428.91510017
2018-01-04 16:00:00.411113984,173.1833,173.21,172.87,172.95,173.0299146749319,755104.0,5000.0,130655580.69069977
2018-01-04 16:13:10.109027328,172.95,173.01,172.75,173.0,172.9177167690048,635637.0,5000.0,109912898.7338999
2018-01-04 16:25:47.945500416,173.0,173.11,172.89,172.95,173.01499718438768,608429.0,5000.0,105267341.72189981
2018-01-04 16:35:12.471673088,172.95,173.47,172.92,173.35,173.22457867996937,723165.0,5000.0,125269952.44110005
2018-01-04 16:47:38.922847744,173.35,173.4186,173.09,173.24,173.25081003060893,618776.0,5000.0,107203443.22750008
2018-01-04 17:04:54.788121856,173.24,173.3299,173.0,173.09,173.15360494606546,540935.0,5000.0,93664845.29149991
2018-01-04 17:22:47.071081216,173.09,173.22,172.95,172.95,173.10210218468873,576787.0,5000.0,99843042.21280006
2018-01-04 17:37:20.089691648,172.95,173.005,172.65,172.7752,172.78074343318457,642290.0,5000.0,110975343.69970012
2018-01-04 17:57:35.776476928,172.77,173.0801,172.74,172.84,172.86748492924627,555095.0,5000.0,95957876.54679996
2018-01-04 18:22:04.671051264,172.84,172.92,172.7,172.72,172.81072280832998,551965.0,5000.0,95385470.61489986
2018-01-04 18:44:31.211853824,172.72,172.8362,172.6,172.78,172.73657765863598,594995.0,5000.0,102777400.02400012
2018-01-04 19:08:35.029314304,172.78,172.95,172.74,172.9101,172.85062647411524,662126.0,5000.0,114448893.90480003
2018-01-04 19:26:34.539784704,172.9101,173.14,172.9058,173.06,173.0148905575159,638995.0,5000.0,110555649.99179988
2018-01-04 19:46:37.340290304,173.06,173.12,172.85,173.098,172.97107283428483,629157.0,5000.0,108825961.27120014
2018-01-04 20:05:23.536491008,173.0064,173.19,173.0064,173.19,173.1156979533993,613505.0,5000.0,106207346.27290022
2018-01-04 20:23:10.032316672,173.19,173.2,172.991,173.0,173.10663877574783,592672.0,5000.0,102595457.81650001
2018-01-04 20:38:52.560396032,173.0,173.15,172.95,173.09,173.06392419226262,571906.0,5000.0,98976296.62910014
2018-01-04 20:49:13.695751168,173.09,173.24,173.0301,173.1999,173.16736863278712,761008.0,5000.0,131781752.86850007
2018-01-04 20:56:58.503320832,173.1962,173.21,173.05,173.09,173.12233693344365,895917.0,5000.0,155103244.73840004
2018-01-04 21:45:37.406938624,173.09,173.18,172.658,173.03,173.03206882720235,4570848.0,5000.0,790903285.7346802
2018-01-05 15:19:18.474976256,174.3,174.7299,174.295,174.6501,174.50763248577243,557718.0,3379.0,97326047.77470003
2018-01-05 15:27:53.659249664,174.655,174.94,174.5187,174.75,174.78728638563464,799031.0,5000.0,139660460.22800004
2018-01-05 15:39:14.890999040,174.75,174.874,174.55,174.854,174.6954510492649,635302.0,5000.0,110984369.4425001
2018-01-05 15:47:32.479233024,174.855,175.09,174.7541,175.05,174.98952521372536,701134.0,5000.0,122691105.77120012
2018-01-05 15:57:12.497456896,175.05,175.15,174.9,175.06,175.01323415106938,639204.0,5000.0,111869159.32230015
2018-01-05 16:08:26.391394048,175.06,175.19,174.93,175.0,175.07370645868755,620544.0,5000.0,108640938.10069981
2018-01-05 16:22:30.096375040,175.0,175.1,174.88,174.96,175.00531050809,601803.0,5000.0,105318720.87970008
2018-01-05 16:38:36.965899520,174.965,175.0438,174.3652,174.8601,174.89884826683115,625040.0,5000.0,109318776.12070014
2018-01-05 16:55:37.240315136,174.87,175.0,174.73,175.0,174.86859112209112,538370.0,5000.0,94144003.4024002
2018-01-05 17:15:32.198839808,175.0,175.0,174.77,174.87,174.8464877790107,594960.0,5000.0,104026666.3690002
