datetime,open,high,low,close,vwap,cum_volume,cum_ticks,cum_dollar_value,cum_buy_ticks,cum_sell_ticks,cum_buy_volume,cum_sell_volume,cum_buy_dollar_value,cum_sell_dollar_value
2018-01-02 19:42:41.148936960,268.33,268.33,268.31,268.32,268.3200168392546,905432.0,34.0,242945529.4868,6.0,5.0,301532.0,600400.0,80907067.4868,161099326.0
2018-01-02 19:54:30.573617920,268.31,268.36,268.28,268.32,268.3120669114889,914813.0,2870.0,245455366.8674999,312.0,303.0,72558.0,388046.0,19468371.7124,104119800.19359998
2018-01-02 19:59:14.408576000,268.325,268.34,268.284,268.32,268.3161610596711,890899.0,1387.0,239042599.57189992,148.0,141.0,284198.0,132677.0,76255767.4634,35599355.14349999
2018-01-02 20:00:43.982594048,268.305,268.33,268.29,268.3,268.3145558363822,1077414.0,402.0,289085858.8618999,65.0,72.0,14362.0,761911.0,3853516.8000000003,204430783.56190002
2018-01-02 20:03:12.227587072,268.3,268.31,268.27,268.3,268.2954548631722,877709.0,1174.0,235485335.3925,116.0,107.0,221640.0,23236.0,59465070.72240002,6233825.980099998
2018-01-02 20:11:49.818344960,268.3,268.39,268.29,268.39,268.3195171481278,877606.0,4123.0,235478818.16629982,392.0,390.0,117112.0,83479.0,31424045.935900003,22398763.5554
2018-01-02 20:23:02.304551936,268.39,268.425,268.35,268.4,268.3940061716022,878054.0,3617.0,235664430.69500002,451.0,446.0,140277.0,119020.0,37649921.9609,31944000.28360001
2018-01-02 20:28:44.959460096,268.4,268.49,268.39,268.485,268.42827678396077,877850.0,3219.0,235639762.77479997,316.0,309.0,94377.0,113859.0,25333999.124800008,30563190.975000005
2018-01-02 20:35:11.025545984,268.49,268.52,268.34,268.35,268.45708730354187,877859.0,3763.0,235667470.20319995,409.0,406.0,104050.0,93766.0,27932901.416500002,25172181.351700004
2018-01-02 20:39:47.819592960,268.35,268.465,268.34,268.46,268.4080611447886,877769.0,3444.0,235600275.42299992,391.0,375.0,131226.0,85277.0,35222640.9455,22888618.347500004
2018-01-02 20:43:33.539259904,268.46,268.53,268.45,268.51,268.498839593207,877547.0,3405.0,235620351.1885,351.0,352.0,91038.0,80807.0,24443932.281699996,21696281.307099998
2018-01-02 20:46:15.033102080,268.51,268.61,268.5,268.6,268.5694994219095,878063.0,3013.0,235820940.3709001,379.0,355.0,153056.0,97490.0,41107129.945300005,26182679.871699985
2018-01-02 20:49:45.892883968,268.6,268.64,268.57,268.61,268.60947959950215,877807.0,3067.0,235787281.45880017,336.0,333.0,91351.0,99294.0,24538013.4597,26671075.0409
2018-01-02 20:52:45.711525120,268.61,268.72,268.6,268.71,268.6758386662848,880038.0,3473.0,236444947.70819992,433.0,415.0,107477.0,143749.0,28876572.793400005,38620048.9364
2018-01-02 20:54:29.627230976,268.71,268.72,268.66,268.68,268.69557018358165,878137.0,2340.0,235951521.91429982,305.0,319.0,140504.0,156861.0,37753138.115,42147243.14230001
2018-01-02 20:56:26.187179008,268.68,268.7,268.64,268.69,268.680836456669,881803.0,3246.0,236923567.63000008,384.0,384.0,135546.0,119764.0,36419192.643199995,32178104.271800008
2018-01-02 20:58:16.341060096,268.69,268.695,268.62,268.66,268.65493875562487,877581.0,3064.0,235766469.80810004,367.0,374.0,114261.0,139919.0,30697484.757000003,37589326.60610001
2018-01-02 20:59:20.002480896,268.66,268.75,268.64,268.74,268.69198112092283,877527.0,2810.0,235784468.11710006,328.0,309.0,87035.0,100058.0,23385911.46870001,26884509.3384
2018-01-02 20:59:55.143772928,268.74,268.78,268.655,268.78,268.70970157390394,877817.0,2351.0,235877944.1064996,370.0,363.0,94854.0,122748.0,25488688.6371,32983093.659400016
