timestamp,symbol,open,high,low,close,vwap,cum_tick,cum_volume,cum_dollar_value,cum_buy_tick,cum_buy_volume,cum_buy_dollar_value
2020-08-05 13:01:11.753000-04:00,AMZN,3193.29,3194,3193.15,3194,3193.7976057233705,24,629,2008898.694,14,469,1497895.434
2020-08-05 13:01:12.650000-04:00,AMZN,3193.95,3194,3193.5,3193.51,3193.7587164179104,39,670,2139818.3400000003,10,228,728142.53
2020-08-05 13:01:14.222000-04:00,AAPL,437.03,437.13,437.03,437.06,437.0744766950076,82,4587,2004860.6245999995,27,1081,472476.26769999997
2020-08-05 13:01:23.270000-04:00,AMZN,3193.5,3194,3193.15,3193.51,3193.542222816167,25,767,2449446.8849,11,638,2037494.8629
2020-08-05 13:01:23.914000-04:00,AAPL,437.07,437.15,437.04,437.14,437.12475346013764,72,4942,2160270.5316,30,3470,1516850.8936
2020-08-05 13:01:25.399000-04:00,AMZN,3193.8355,3193.87,3193.15,3193.87,3193.767864920635,19,630,2012073.7549,10,364,1162560.1849
2020-08-05 13:01:32.161000-04:00,AAPL,437.14,437.2,437.1,437.16,437.155906516073,89,4604,2012665.7935999997,30,1238,541218.0454
2020-08-05 13:01:32.658000-04:00,AMZN,3193.961,3194,3193.18,3193.99,3193.9497708217914,40,1083,3459047.6018000003,18,789,2520035.899
2020-08-05 13:01:36.123000-04:00,TSLA,1482.915,1484,1482.3105,1483.12,1483.447868517217,63,1423,2110946.3168999995,26,710,1053295.6056000001
2020-08-05 13:01:37.141000-04:00,AMZN,3193.33,3194,3193.32,3193.6721,3193.6844229299368,23,628,2005633.8176000002,13,211,673906.3768000001
2020-08-05 13:01:39.999000-04:00,AAPL,437.16,437.17,437.04,437.045,437.09872923875434,80,4624,2021144.524,23,1464,639945.7345000001
2020-08-05 13:01:40.641000-04:00,AMZN,3193.43,3193.87,3193.15,3193.15,3193.230173809524,34,630,2011735.0095000004,10,72,229934.0995
2020-08-05 13:01:49.477000-04:00,AMZN,3193.188,3194,3193.15,3193.96,3193.8578803652963,46,657,2098364.6274,21,182,581278.1804
2020-08-05 13:01:49.478000-04:00,AMZN,3194,3194,3194,3194,3194.0,12,910,2906540,1,42,134148
2020-08-05 13:01:49.517000-04:00,AMZN,3194,3194.13,3194,3194,3194.000184921764,8,703,2245382.13,1,1,3194.13
2020-08-05 13:01:50.118000-04:00,AAPL,437.045,437.13,437.03,437.0305,437.0790077584483,95,5001,2185832.117799999,33,1458,637283.7562999999
2020-08-05 13:01:51.257000-04:00,AMZN,3193.15,3194.5,3193.15,3193.595,3193.784209052334,36,707,2258005.435800001,14,361,1153004.0750000002
2020-08-05 13:01:56.355000-04:00,AAPL,437.055,437.06,436.99,437,437.0214874919683,62,4669,2040453.3251000005,17,976,426553.2364999999
2020-08-05 13:01:56.374000-04:00,AMZN,3193.1814,3194,3193,3193.15,3193.234764387464,34,702,2241650.8045999995,8,81,258667.28
2020-08-05 13:01:59.558000-04:00,TSLA,1483.14,1483.99,1483,1483.5498,1483.5542075513197,58,1364,2023567.939099999,24,539,799679.2876999999
2020-08-05 13:02:00.531000-04:00,TSLA,1483.5498,1484.28,1483.5498,1484,1483.9830582822085,41,1630,2418892.385,7,64,94978.23000000001
